GCId,Type,Cause,UsedHeap,PauseTime
182,ParallelScavenge,Allocation Failure,189989936,2723640
183,ParallelScavenge,Allocation Failure,189006896,6201498
184,ParallelScavenge,Allocation Failure,188023856,5797271
185,ParallelScavenge,Allocation Failure,186934320,6799638
186,ParallelScavenge,Allocation Failure,186049584,5285588
187,ParallelScavenge,System.gc(),172173840,5616195
188,ParallelOld,System.gc(),98067504,193621675
189,ParallelScavenge,Allocation Failure,201149800,5383113
190,ParallelScavenge,Allocation Failure,199806312,5067913
191,ParallelScavenge,Allocation Failure,198266216,4862683
192,ParallelScavenge,Allocation Failure,196758888,5224053
193,ParallelScavenge,Allocation Failure,195218792,3162143
194,ParallelScavenge,Allocation Failure,193711464,3006638
195,ParallelScavenge,Allocation Failure,192695656,5081490
196,ParallelScavenge,Allocation Failure,191745384,6206300
197,ParallelScavenge,Allocation Failure,190762344,4128502
198,ParallelScavenge,Allocation Failure,189656424,5671927
199,ParallelScavenge,Allocation Failure,188738920,7040395
200,ParallelScavenge,Allocation Failure,187723112,3479442
201,ParallelScavenge,System.gc(),151729608,2833027
202,ParallelOld,System.gc(),98643304,118557941
203,ParallelScavenge,Allocation Failure,184175928,3942775
204,ParallelScavenge,Allocation Failure,184864056,5597520
205,ParallelScavenge,Allocation Failure,183881016,3846033
206,ParallelScavenge,Allocation Failure,196529464,4604525
207,ParallelScavenge,Allocation Failure,194989368,3658940
208,ParallelScavenge,Allocation Failure,193514808,5680069
209,ParallelScavenge,Allocation Failure,192015672,4100086
210,ParallelScavenge,Allocation Failure,190967096,4045474
211,ParallelScavenge,Allocation Failure,189984056,2949732
212,ParallelScavenge,Allocation Failure,189001016,5455994
213,ParallelScavenge,Allocation Failure,187903288,4304243
214,ParallelScavenge,Allocation Failure,187018552,4687233
215,ParallelScavenge,System.gc(),182466008,3362033
216,ParallelOld,System.gc(),96939320,129188590
217,ParallelScavenge,Allocation Failure,185882872,2908594
218,ParallelScavenge,Allocation Failure,185030904,3825592
219,ParallelScavenge,Allocation Failure,195025144,3959970
220,ParallelScavenge,Allocation Failure,193550584,3443639
221,ParallelScavenge,Allocation Failure,191977720,3368481
222,ParallelScavenge,Allocation Failure,190994680,4803803
223,ParallelScavenge,Allocation Failure,189978872,3962000
224,ParallelScavenge,Allocation Failure,188995832,4242867
225,ParallelScavenge,Allocation Failure,187980024,3128412
226,ParallelScavenge,Allocation Failure,186996984,3080898
227,ParallelScavenge,Allocation Failure,185981176,5506623
228,ParallelScavenge,Allocation Failure,184932600,4923270
229,ParallelScavenge,Allocation Failure,193485048,5263456
230,ParallelScavenge,System.gc(),97615600,4765743
231,ParallelOld,System.gc(),97507576,116226033
232,ParallelScavenge,Allocation Failure,192299304,5033670
233,ParallelScavenge,Allocation Failure,191447336,3817187
234,ParallelScavenge,Allocation Failure,190431528,6696274
235,ParallelScavenge,Allocation Failure,189448488,3769368
236,ParallelScavenge,Allocation Failure,188498216,5223768
237,ParallelScavenge,Allocation Failure,187449640,3511270
238,ParallelScavenge,Allocation Failure,186466600,7248250
239,ParallelScavenge,Allocation Failure,185385256,3076294
240,ParallelScavenge,Allocation Failure,191742248,6347420
241,ParallelScavenge,Allocation Failure,190791976,5453977
242,ParallelScavenge,Allocation Failure,189776168,4000692
243,ParallelScavenge,Allocation Failure,188727592,6391077
244,ParallelScavenge,Allocation Failure,187777320,5797627
245,ParallelScavenge,System.gc(),108835584,5317212
246,ParallelOld,System.gc(),98222376,173198697
247,ParallelScavenge,Allocation Failure,184459360,4521432
248,ParallelScavenge,Allocation Failure,185180256,5179179
249,ParallelScavenge,Allocation Failure,184164448,2460077
250,ParallelScavenge,Allocation Failure,188424288,6169360
251,ParallelScavenge,Allocation Failure,187441248,4054993
252,ParallelScavenge,Allocation Failure,186425440,3187826
253,ParallelScavenge,Allocation Failure,185409632,6341726
254,ParallelScavenge,Allocation Failure,184426592,6286941
255,ParallelScavenge,Allocation Failure,187605088,2591226
256,ParallelScavenge,Allocation Failure,186589280,6892690
257,ParallelScavenge,Allocation Failure,185606240,5266304
258,ParallelScavenge,Allocation Failure,184565856,5798327
259,ParallelScavenge,Allocation Failure,187351136,4582327
260,ParallelScavenge,System.gc(),136181072,6877099
261,ParallelOld,System.gc(),96649312,203733780
262,ParallelScavenge,Allocation Failure,186161808,4397530
263,ParallelScavenge,Allocation Failure,185309840,4636971
264,ParallelScavenge,Allocation Failure,184326800,6393869
265,ParallelScavenge,Allocation Failure,186456720,5469776
266,ParallelScavenge,Allocation Failure,185473680,5494308
267,ParallelScavenge,Allocation Failure,184457872,5305255
268,ParallelScavenge,Allocation Failure,186063504,3236700
269,ParallelScavenge,Allocation Failure,185146000,4212045
270,ParallelScavenge,Allocation Failure,186194576,3966022
271,ParallelScavenge,Allocation Failure,185113232,4915524
272,ParallelScavenge,Allocation Failure,185768592,4630136
273,ParallelScavenge,Allocation Failure,184687248,3100372
274,ParallelScavenge,Allocation Failure,185866896,5774495
275,ParallelScavenge,System.gc(),146285848,5355002
276,ParallelOld,System.gc(),97294992,155218697
277,ParallelScavenge,Allocation Failure,184709488,5561426
278,ParallelScavenge,Allocation Failure,185430384,6889415
279,ParallelScavenge,Allocation Failure,185463152,4979845
280,ParallelScavenge,Allocation Failure,184480112,4638295
281,ParallelScavenge,Allocation Failure,184512880,5312555
282,ParallelScavenge,Allocation Failure,184586608,4670396
283,ParallelScavenge,Allocation Failure,184619376,2665382
284,ParallelScavenge,Allocation Failure,184684912,4825189
285,ParallelScavenge,Allocation Failure,184725872,3074859
286,ParallelScavenge,Allocation Failure,184791408,6349291
287,ParallelScavenge,Allocation Failure,184832368,3635227
288,ParallelScavenge,Allocation Failure,184897904,5054333
289,ParallelScavenge,Allocation Failure,184930672,6816070
290,ParallelScavenge,System.gc(),167510152,6818538
291,ParallelOld,System.gc(),97931632,201670408
292,ParallelScavenge,Allocation Failure,184838392,4878897
293,ParallelScavenge,Allocation Failure,185067768,4002833
294,ParallelScavenge,Allocation Failure,185100536,6667475
295,ParallelScavenge,Allocation Failure,185108728,4287297
296,ParallelScavenge,Allocation Failure,185182456,5082377
297,ParallelScavenge,Allocation Failure,185256184,4935933
298,ParallelScavenge,Allocation Failure,185329912,4869558
299,ParallelScavenge,Allocation Failure,185362680,4983694
300,ParallelScavenge,Allocation Failure,185428216,5094882
301,ParallelScavenge,Allocation Failure,185460984,3170864
302,ParallelScavenge,Allocation Failure,185493752,4491493
303,ParallelScavenge,Allocation Failure,185559288,6864455
304,ParallelScavenge,Allocation Failure,185592056,4153670
305,ParallelScavenge,System.gc(),168087000,6064525
306,ParallelOld,System.gc(),98625784,187707618
307,ParallelScavenge,Allocation Failure,183132480,5836515
308,ParallelScavenge,Allocation Failure,183361856,5379978
309,ParallelScavenge,Allocation Failure,183394624,6418805
310,ParallelScavenge,Allocation Failure,183427392,4640900
311,ParallelScavenge,Allocation Failure,183492928,4910083
312,ParallelScavenge,Allocation Failure,183492928,6241471
313,ParallelScavenge,Allocation Failure,183558464,4293555
314,ParallelScavenge,Allocation Failure,183591232,3103555
315,ParallelScavenge,Allocation Failure,183689536,5819203
316,ParallelScavenge,Allocation Failure,183755072,5393930
317,ParallelScavenge,Allocation Failure,183722304,7563280
318,ParallelScavenge,Allocation Failure,183755072,4211563
319,ParallelScavenge,Allocation Failure,183918912,5218830
320,ParallelScavenge,System.gc(),170027272,6759005
321,ParallelOld,System.gc(),96887104,200520429
322,ParallelScavenge,Allocation Failure,183790184,5249636
323,ParallelScavenge,Allocation Failure,182970984,2982171
324,ParallelScavenge,Allocation Failure,182938216,4737629
325,ParallelScavenge,Allocation Failure,183036520,3888346
326,ParallelScavenge,Allocation Failure,183069288,3138957
327,ParallelScavenge,Allocation Failure,184150632,5821971
328,ParallelScavenge,Allocation Failure,184183400,3132172
329,ParallelScavenge,Allocation Failure,184314472,5712020
330,ParallelScavenge,Allocation Failure,184314472,3263186
331,ParallelScavenge,Allocation Failure,184380008,5043844
332,ParallelScavenge,Allocation Failure,184412776,6154190
333,ParallelScavenge,Allocation Failure,184445544,5046514
334,ParallelScavenge,Allocation Failure,184543848,5109510
335,ParallelScavenge,System.gc(),170903424,6746855
336,ParallelOld,System.gc(),97577576,188088412
337,ParallelScavenge,Allocation Failure,184459488,6180315
338,ParallelScavenge,Allocation Failure,184164576,3435134
339,ParallelScavenge,Allocation Failure,184197344,2929637
340,ParallelScavenge,Allocation Failure,184230112,7189455
341,ParallelScavenge,Allocation Failure,184295648,4471438
342,ParallelScavenge,Allocation Failure,184852704,3070054
343,ParallelScavenge,Allocation Failure,184885472,3232644
344,ParallelScavenge,Allocation Failure,184951008,5609501
345,ParallelScavenge,Allocation Failure,184983776,4685972
346,ParallelScavenge,Allocation Failure,185016544,5780990
347,ParallelScavenge,Allocation Failure,185082080,3376390
348,ParallelScavenge,Allocation Failure,185114848,6460469
349,ParallelScavenge,Allocation Failure,185147616,7189239
350,ParallelScavenge,System.gc(),168040936,6128398
351,ParallelOld,System.gc(),98246880,163629673
352,ParallelScavenge,Allocation Failure,185113704,3625990
353,ParallelScavenge,Allocation Failure,185343080,2938514
354,ParallelScavenge,Allocation Failure,185375848,6555870
355,ParallelScavenge,Allocation Failure,185408616,3151589
